#size	time	stride	latency(ns)	clocks
4096	0.000183	4	71	100
4096	0.000156	8	61	85
4096	0.000155	16	60	84
4096	0.000154	32	60	84
4096	0.000155	64	60	84
4096	0.000153	128	60	83
4096	0.000151	256	59	82
4096	0.000149	512	58	81
4096	0.000148	1024	58	81
4096	0.000148	2048	58	81
#size	time	stride	latency(ns)	clocks
8192	0.000165	4	65	90
8192	0.000175	8	68	95
8192	0.000197	16	77	107
8192	0.000240	32	94	131
8192	0.000327	64	128	179
8192	0.000157	128	62	86
8192	0.000155	256	60	84
8192	0.000151	512	59	82
8192	0.000149	1024	58	81
8192	0.000148	2048	58	81
8192	0.000148	4096	58	80
#size	time	stride	latency(ns)	clocks
16384	0.000167	4	65	91
16384	0.000180	8	70	98
16384	0.000202	16	79	110
16384	0.000246	32	96	134
16384	0.000332	64	130	182
16384	0.000333	128	130	182
16384	0.000162	256	63	88
16384	0.000155	512	60	84
16384	0.000151	1024	59	82
16384	0.000149	2048	58	81
16384	0.000148	4096	58	81
16384	0.000148	8192	58	81
#size	time	stride	latency(ns)	clocks
32768	0.000166	4	65	91
32768	0.000183	8	71	100
32768	0.000214	16	83	117
32768	0.000268	32	105	146
32768	0.000367	64	143	200
32768	0.000400	128	156	218
32768	0.000449	256	175	245
32768	0.000162	512	63	88
32768	0.000154	1024	60	84
32768	0.000151	2048	59	82
32768	0.000149	4096	58	81
32768	0.000148	8192	58	80
32768	0.000147	16384	58	80
#size	time	stride	latency(ns)	clocks
65536	0.000161	4	63	88
65536	0.000178	8	70	97
65536	0.000214	16	83	116
65536	0.000283	32	111	154
65536	0.000424	64	166	232
65536	0.000532	128	208	291
65536	0.000743	256	290	407
65536	0.000743	512	290	407
65536	0.000158	1024	62	86
65536	0.000150	2048	59	82
65536	0.000146	4096	57	80
65536	0.000144	8192	56	79
65536	0.000144	16384	56	78
65536	0.000143	32768	56	78
#size	time	stride	latency(ns)	clocks
131072	0.000161	4	63	88
131072	0.000178	8	70	97
131072	0.000214	16	83	117
131072	0.000284	32	111	155
131072	0.000424	64	166	232
131072	0.000532	128	208	291
131072	0.000743	256	290	407
131072	0.000743	512	290	407
131072	0.000743	1024	290	407
131072	0.000158	2048	62	86
131072	0.000150	4096	59	82
131072	0.000146	8192	57	80
131072	0.000144	16384	56	79
131072	0.000144	32768	56	78
131072	0.000143	65536	56	78
#size	time	stride	latency(ns)	clocks
262144	0.000161	4	63	88
262144	0.000179	8	70	97
262144	0.000214	16	83	117
262144	0.000284	32	111	155
262144	0.000424	64	166	232
262144	0.000531	128	208	291
262144	0.000743	256	290	407
